tipo	bairro	área (m2)	quartos	banheiros	vagas de garagem	preço
Apartamento	Canasvieiras	32	1	1	1	265000
Apartamento	Centro	50	1	1		265000
Apartamento	Canasvieiras	32	1	1	1	265950
Apartamento	Ingleses do Rio Vermelho	41	1	1	1	266000
Apartamento	Abraão	73	2	1	1	267000
Apartamento	Coloninha	58	2	1	1	268000
Apartamento	Coloninha	57	2	1	1	268000
Apartamento	Abraão	73	2	1	1	268000
Apartamento	Coloninha	58	2	1	1	268000
Apartamento	Trindade	53	2	1		269000
Apartamento	Centro	61	2	1		269000
Apartamento	Centro	73	2	1		269000
Apartamento	Capoeiras	63	2	1	2	269000
Apartamento	Ingleses do Rio Vermelho	60	2	2	1	269000
Apartamento	Córrego Grande	24	1	1	1	270000
Apartamento	Vargem Grande	60	2	2	1	270000
Apartamento	Bom Abrigo	70	2	2	1	270000
Apartamento	Campeche	71	2	2	1	270000
Apartamento	Estreito	66	2	2	1	270000
Apartamento	Coqueiros	58	1	1	1	270000
Apartamento	Centro	41	1	1		270000
Apartamento	Ingleses do Rio Vermelho	11	2	2	1	270000
Apartamento	Canasvieiras	40	2	1	1	270000
Apartamento	Estreito	78	2	2	1	270000
Apartamento	Abraão	80	3	1	1	270000
Apartamento	Trindade	47	1	1	1	270000
Apartamento	Itacorubi	46	1	1	1	270000
Apartamento	Itacorubi	40	1	1	1	270000
Apartamento	Itacorubi	40	1	1	1	270000
Apartamento	Centro	40	1	1	1	270000
Apartamento	Ingleses do Rio Vermelho	105	3	2	1	270000
Apartamento	Itacorubi	60	2	1	1	270000
Apartamento	Cachoeira do Bom Jesus	59	2	1	1	270000
Apartamento	Centro	50	1	1		270000
Apartamento	Ingleses do Rio Vermelho	68	2	2	1	270000
Apartamento	Ingleses do Rio Vermelho	63	2	2	1	270000
Apartamento	Jardim Atlântico	67	2	1	1	270000
Apartamento	Trindade	53	2	1	1	270000
Apartamento	Ingleses do Rio Vermelho	52	1	1	1	270000
Apartamento	Centro	48	2	1	1	270000
Apartamento	Itacorubi	42	1	1	1	270000
Apartamento	Capoeiras	63	2	2	2	270020
Apartamento	Canasvieiras	91	1	1		270070
Apartamento	Agronômica	41	1	1	1	275000
Apartamento	Canasvieiras	55	2	1	1	275000
Apartamento	Ingleses do Rio Vermelho	85	2	2	1	275000
Apartamento	Ingleses do Rio Vermelho	54	1	1	1	275000
Apartamento	Ingleses do Rio Vermelho	62	2	1	1	275000
Apartamento	Capoeiras	67	2	2	1	275000
Apartamento	Trindade	40	1	1	1	275000
Apartamento	Ingleses do Rio Vermelho	68	2	2	1	275000
Apartamento	Capoeiras	59	2	1	1	275000
Apartamento	Capoeiras	73	2	1	1	275000
Apartamento	Carvoeira	42	1	1	1	275000
Apartamento	Estreito	61	2	1	1	275000
Apartamento	Estreito	66	2	1	1	275000
Apartamento	Carvoeira	42	1	1		275000
Apartamento	Itacorubi	48	1	1		275000
Apartamento	Abraão	73	3	1	1	275000
Apartamento	Ingleses do Rio Vermelho	57	1	1	1	275000
Apartamento	Abraão	73	3	1	1	275000
Apartamento	Ingleses do Rio Vermelho	89	2	2	1	275000
